Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-FR-en_2020-10-01-O1001	ParlaMint-FR_2020-10-01-O1001.u1	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N001)	-	1. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
ParlaMint-FR-en_2020-10-01-O1001	ParlaMint-FR_2020-10-01-O1001.u2	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N001)	-	1. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
ParlaMint-FR-en_2020-10-01-O1001	ParlaMint-FR_2020-10-01-O1001.u3	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N001)	-	1. séance	-	COVID	English	Regular	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
ParlaMint-FR-en_2020-10-01-O1001	ParlaMint-FR_2020-10-01-O1001.u4	Proceedings of the debates in plenary sitting of the Assemblée Nationale, sitting: 1, 01/10/2020	2020-10-01	Lower house	15e législature	session ordinaire 2020-2021 (CRSANR5L15S2021O1N001)	-	1. séance	-	COVID	English	Chairperson	MP	notMinister	LAREM	La République en Marche	Coalition	Centre	PA606171	Ferrand, Richard	M	1962	
