Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e91	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e125	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e157	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e189	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e221	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e237	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e253	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e270	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-04-12-upper	ParlaMint-NO_2005-04-12-upper.ana.ud1358e286	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-04-12	2005-04-12	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-04-12	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
