Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e189	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e205	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e221	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e237	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e253	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e269	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e285	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e301	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2005-06-17-upper	ParlaMint-NO_2005-06-17-upper.ana.ud2189e318	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-17	2005-06-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
