Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e26	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e57	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e68	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e84	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.BÅH	Hoksrud, Bård	M	1973	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e97	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e105	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
ParlaMint-NO-en_2005-11-22	ParlaMint-NO_2005-11-22.ana.ud64e204	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-11-22	2005-11-22	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-11-22	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.CIH	Hagen, Carl I.	M	1944	
