Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e60	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e74	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e92	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e110	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e128	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-12-15-upper	ParlaMint-NO_2005-12-15-upper.ana.ud173e146	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-15	2005-12-15	Upper house	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-15	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
