Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e27	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e60	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e93	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.KRCL	Clemet, Kristin	F	1957	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e133	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.KRCL	Clemet, Kristin	F	1957	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e157	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.JAOO	Olsen, Jan Olav	M	1950	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e194	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e203	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AL	Lyngstad, Arne	M	1962	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e217	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e235	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SFV	Voie, Søren Fredrik	M	1949	
ParlaMint-NO-en_2005-01-20	ParlaMint-NO_2005-01-20.ana.ud87e248	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-20	2005-01-20	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-20	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
