Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e69	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e83	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GRF	Fossli, Grethe	F	1954	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e88	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e109	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.BJØB	Brende, Børge	M	1965	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GRF	Fossli, Grethe	F	1954	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e164	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e172	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-03-01	ParlaMint-NO_2005-03-01.ana.ud1243e247	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-01	2005-03-01	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
