Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e35	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e80	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e89	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e108	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANS	Strøm-Erichsen, Anne-Grete	F	1949	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e127	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e130	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PB	Bredvold, Per Roar	M	1957	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e144	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANS	Strøm-Erichsen, Anne-Grete	F	1949	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e151	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e154	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e161	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e164	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e174	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Regular	MP	Minister	A	Arbeiderpartiet	Coalition	Centre-left	person.ANS	Strøm-Erichsen, Anne-Grete	F	1949	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e183	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e199	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e207	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-12-16	ParlaMint-NO_2005-12-16.ana.ud2620e2379	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-12-16	2005-12-16	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-12-16	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
