Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-02-17-upper	ParlaMint-NO_2005-02-17-upper.ana.ud1727e67	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-17	2005-02-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2005-02-17-upper	ParlaMint-NO_2005-02-17-upper.ana.ud1727e83	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-17	2005-02-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_2005-02-17-upper	ParlaMint-NO_2005-02-17-upper.ana.ud1727e99	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-17	2005-02-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-17	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
