Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-02-18-lower	ParlaMint-NO_2005-02-18-lower.ana.ud1944e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-18	2005-02-18	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-18	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SME	Meling, Siri A.	F	1963	
ParlaMint-NO-en_2005-02-18-lower	ParlaMint-NO_2005-02-18-lower.ana.ud1944e53	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-18	2005-02-18	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-02-18-lower	ParlaMint-NO_2005-02-18-lower.ana.ud1944e61	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-18	2005-02-18	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-02-18-lower	ParlaMint-NO_2005-02-18-lower.ana.ud1944e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-18	2005-02-18	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-02-18-lower	ParlaMint-NO_2005-02-18-lower.ana.ud1944e188	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-18	2005-02-18	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-18	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
