Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-12-lower	ParlaMint-NO_2005-05-12-lower.ana.ud674e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-12	2005-05-12	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2005-05-12-lower	ParlaMint-NO_2005-05-12-lower.ana.ud674e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-12	2005-05-12	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-12	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.MEH	Hansen, May	F	1953	
ParlaMint-NO-en_2005-05-12-lower	ParlaMint-NO_2005-05-12-lower.ana.ud674e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-12	2005-05-12	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2005-05-12-lower	ParlaMint-NO_2005-05-12-lower.ana.ud674e36	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-12	2005-05-12	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2005-05-12-lower	ParlaMint-NO_2005-05-12-lower.ana.ud674e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-12	2005-05-12	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
