Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e37	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e50	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UEK	Knudsen, Ulf Erik	M	1964	
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e67	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e77	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-26-lower	ParlaMint-NO_2005-05-26-lower.ana.ud337e169	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-26	2005-05-26	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
