Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e29	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e50	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e78	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SIO	Øye, Signe	F	1945	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e123	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AAS	Sæle, Anita Apelthun	F	1951	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e152	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e421	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e434	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e448	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-03-15-lower	ParlaMint-NO_2005-03-15-lower.ana.ud1839e469	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-03-15	2005-03-15	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-03-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
