Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e29	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e50	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e59	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AAS	Sæle, Anita Apelthun	F	1951	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e91	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SIO	Øye, Signe	F	1945	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e125	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e136	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e193	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e198	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2005-05-31-lower	ParlaMint-NO_2005-05-31-lower.ana.ud1147e227	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-31	2005-05-31	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-31	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
