Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e80	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e89	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.LFO	Onarheim, Leif Frode	M	1934	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e117	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e140	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e143	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e162	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.BYR	Rahm, Bror Yngve	M	1955	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e198	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KNAH	Hareide, Knut Arild	M	1972	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e226	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e229	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e237	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KNAH	Hareide, Knut Arild	M	1972	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e244	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HHL	Langeland, Hallgeir H.	M	1955	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e251	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KNAH	Hareide, Knut Arild	M	1972	
ParlaMint-NO-en_2005-06-09-lower	ParlaMint-NO_2005-06-09-lower.ana.ud1415e260	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-06-09	2005-06-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-06-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
