Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-10-01	ParlaMint-NO_2005-10-01.ana.ud2270e2535	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-01	2005-10-01	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-01	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-10-01	ParlaMint-NO_2005-10-01.ana.ud2270e2545	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-01	2005-10-01	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-10-01	ParlaMint-NO_2005-10-01.ana.ud2270e2575	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-01	2005-10-01	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-10-01	ParlaMint-NO_2005-10-01.ana.ud2270e2666	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-01	2005-10-01	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2005-10-01	ParlaMint-NO_2005-10-01.ana.ud2270e2691	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-01	2005-10-01	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-01	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
