Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e24	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e100	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e137	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e149	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e290	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e313	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e319	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Regular	notMP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_2005-10-14	ParlaMint-NO_2005-10-14.ana.ud1279e336	Hansard from meeting in the Norwegian Parliament, term 2005-2009, Session 2005-2006, Sitting day 2005-10-14	2005-10-14	Unicameralism	Term 2005-2009	Session 2005-2006	-	Sitting day 2005-10-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TJ	Jagland, Thorbjørn	M	1950	
