Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e22	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e111	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e252	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e255	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KMB	Bondevik, Kjell Magne	M	1947	
ParlaMint-NO-en_2005-01-10	ParlaMint-NO_2005-01-10.ana.ud740e316	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-01-10	2005-01-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-01-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
