Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e108	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e113	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.LEJ	Jensen, Lena	F	1973	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e129	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e147	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e179	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2005-05-24	ParlaMint-NO_2005-05-24.ana.ud683e236	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-05-24	2005-05-24	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-05-24	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
