Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2001-12-24-0	ParlaMint-BA_2001-12-24-0.u1601	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 13	2001-12-24	Unicameralism	3. mandat	-	Sjednica 13	2001-12-24	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	TokićSejfudin	Tokić, Sejfudin	M	1959	
ParlaMint-BA-en_2001-12-24-0	ParlaMint-BA_2001-12-24-0.u1602	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 13	2001-12-24	Unicameralism	3. mandat	-	Sjednica 13	2001-12-24	-	Reference	English	Regular	MP	notMinister	GDS	Građanska demokratska stranka	-	-	SpahićIbrahim	Spahić, Ibrahim	M	1952	
ParlaMint-BA-en_2001-12-24-0	ParlaMint-BA_2001-12-24-0.u1603	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 3, Session 13	2001-12-24	Unicameralism	3. mandat	-	Sjednica 13	2001-12-24	-	Reference	English	Chairperson	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	TokićSejfudin	Tokić, Sejfudin	M	1959	
