Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2006-01-23-SDZ4-Izredna-15	ParlaMint-SI_2006-01-23-SDZ4-Izredna-15.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 15, (23. 01. 2006)	2006-01-23	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KlavoraVasja	Klavora, Vasja	M	1936	
ParlaMint-SI-en_2006-01-23-SDZ4-Izredna-15	ParlaMint-SI_2006-01-23-SDZ4-Izredna-15.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 15, (23. 01. 2006)	2006-01-23	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-01-23-SDZ4-Izredna-15	ParlaMint-SI_2006-01-23-SDZ4-Izredna-15.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 15, (23. 01. 2006)	2006-01-23	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-01-23-SDZ4-Izredna-15	ParlaMint-SI_2006-01-23-SDZ4-Izredna-15.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 15, (23. 01. 2006)	2006-01-23	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
