Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-04-03-027-XXVII-NRSITZ-00023	ParlaMint-AT_2020-04-03-027-XXVII-NRSITZ-00023_d7e393	Sitting Number 23, Legislative period XXVII, Friday, 3. April 2020	2020-04-03	Lower house	Legislative period XXVII	-	-	Sitting 23	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-03-027-XXVII-NRSITZ-00023	ParlaMint-AT_2020-04-03-027-XXVII-NRSITZ-00023_d7e683	Sitting Number 23, Legislative period XXVII, Friday, 3. April 2020	2020-04-03	Lower house	Legislative period XXVII	-	-	Sitting 23	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-03-027-XXVII-NRSITZ-00023	ParlaMint-AT_2020-04-03-027-XXVII-NRSITZ-00023_d7e835	Sitting Number 23, Legislative period XXVII, Friday, 3. April 2020	2020-04-03	Lower house	Legislative period XXVII	-	-	Sitting 23	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
