Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-11-26-027-XXVII-NRSITZ-00068	ParlaMint-AT_2020-11-26-027-XXVII-NRSITZ-00068_d7e365	Sitting Number 68, Legislative period XXVII, Thursday, 26. November 2020	2020-11-26	Lower house	Legislative period XXVII	-	-	Sitting 68	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-11-26-027-XXVII-NRSITZ-00068	ParlaMint-AT_2020-11-26-027-XXVII-NRSITZ-00068_d7e439	Sitting Number 68, Legislative period XXVII, Thursday, 26. November 2020	2020-11-26	Lower house	Legislative period XXVII	-	-	Sitting 68	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-11-26-027-XXVII-NRSITZ-00068	ParlaMint-AT_2020-11-26-027-XXVII-NRSITZ-00068_d7e527	Sitting Number 68, Legislative period XXVII, Thursday, 26. November 2020	2020-11-26	Lower house	Legislative period XXVII	-	-	Sitting 68	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
