Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-11-20-027-XXVII-NRSITZ-00065	ParlaMint-AT_2020-11-20-027-XXVII-NRSITZ-00065_d7e478	Sitting Number 65, Legislative period XXVII, Friday, 20. November 2020	2020-11-20	Lower house	Legislative period XXVII	-	-	Sitting 65	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-11-20-027-XXVII-NRSITZ-00065	ParlaMint-AT_2020-11-20-027-XXVII-NRSITZ-00065_d7e521	Sitting Number 65, Legislative period XXVII, Friday, 20. November 2020	2020-11-20	Lower house	Legislative period XXVII	-	-	Sitting 65	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-11-20-027-XXVII-NRSITZ-00065	ParlaMint-AT_2020-11-20-027-XXVII-NRSITZ-00065_d7e967	Sitting Number 65, Legislative period XXVII, Friday, 20. November 2020	2020-11-20	Lower house	Legislative period XXVII	-	-	Sitting 65	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
