Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00026	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00026_d7e1355	Sitting Number 26, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 26	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00026	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00026_d7e1401	Sitting Number 26, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 26	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00026	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00026_d7e1449	Sitting Number 26, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 26	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
