Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-09-23-027-XXVII-NRSITZ-00052	ParlaMint-AT_2020-09-23-027-XXVII-NRSITZ-00052_d7e617	Sitting Number 52, Legislative period XXVII, Wednesday, 23. September 2020	2020-09-23	Lower house	Legislative period XXVII	-	-	Sitting 52	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-09-23-027-XXVII-NRSITZ-00052	ParlaMint-AT_2020-09-23-027-XXVII-NRSITZ-00052_d7e664	Sitting Number 52, Legislative period XXVII, Wednesday, 23. September 2020	2020-09-23	Lower house	Legislative period XXVII	-	-	Sitting 52	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-09-23-027-XXVII-NRSITZ-00052	ParlaMint-AT_2020-09-23-027-XXVII-NRSITZ-00052_d7e1379	Sitting Number 52, Legislative period XXVII, Wednesday, 23. September 2020	2020-09-23	Lower house	Legislative period XXVII	-	-	Sitting 52	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
