Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-06-17-027-XXVII-NRSITZ-00037	ParlaMint-AT_2020-06-17-027-XXVII-NRSITZ-00037_d7e411	Sitting Number 37, Legislative period XXVII, Wednesday, 17. June 2020	2020-06-17	Lower house	Legislative period XXVII	-	-	Sitting 37	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-06-17-027-XXVII-NRSITZ-00037	ParlaMint-AT_2020-06-17-027-XXVII-NRSITZ-00037_d7e441	Sitting Number 37, Legislative period XXVII, Wednesday, 17. June 2020	2020-06-17	Lower house	Legislative period XXVII	-	-	Sitting 37	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-06-17-027-XXVII-NRSITZ-00037	ParlaMint-AT_2020-06-17-027-XXVII-NRSITZ-00037_d7e1117	Sitting Number 37, Legislative period XXVII, Wednesday, 17. June 2020	2020-06-17	Lower house	Legislative period XXVII	-	-	Sitting 37	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
