Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-12-21-027-XXVII-NRSITZ-00073	ParlaMint-AT_2020-12-21-027-XXVII-NRSITZ-00073_d7e3810	Sitting Number 73, Legislative period XXVII, Monday, 21. December 2020	2020-12-21	Lower house	Legislative period XXVII	-	-	Sitting 73	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-12-21-027-XXVII-NRSITZ-00073	ParlaMint-AT_2020-12-21-027-XXVII-NRSITZ-00073_d7e3922	Sitting Number 73, Legislative period XXVII, Monday, 21. December 2020	2020-12-21	Lower house	Legislative period XXVII	-	-	Sitting 73	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-12-21-027-XXVII-NRSITZ-00073	ParlaMint-AT_2020-12-21-027-XXVII-NRSITZ-00073_d7e4090	Sitting Number 73, Legislative period XXVII, Monday, 21. December 2020	2020-12-21	Lower house	Legislative period XXVII	-	-	Sitting 73	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
