Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-11-05-027-XXVII-NRSITZ-00061	ParlaMint-AT_2020-11-05-027-XXVII-NRSITZ-00061_d7e356	Sitting Number 61, Legislative period XXVII, Thursday, 5. November 2020	2020-11-05	Lower house	Legislative period XXVII	-	-	Sitting 61	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-11-05-027-XXVII-NRSITZ-00061	ParlaMint-AT_2020-11-05-027-XXVII-NRSITZ-00061_d7e424	Sitting Number 61, Legislative period XXVII, Thursday, 5. November 2020	2020-11-05	Lower house	Legislative period XXVII	-	-	Sitting 61	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-11-05-027-XXVII-NRSITZ-00061	ParlaMint-AT_2020-11-05-027-XXVII-NRSITZ-00061_d7e506	Sitting Number 61, Legislative period XXVII, Thursday, 5. November 2020	2020-11-05	Lower house	Legislative period XXVII	-	-	Sitting 61	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
