Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-10-15-027-XXVII-NRSITZ-00059	ParlaMint-AT_2020-10-15-027-XXVII-NRSITZ-00059_d7e393	Sitting Number 59, Legislative period XXVII, Thursday, 15. October 2020	2020-10-15	Lower house	Legislative period XXVII	-	-	Sitting 59	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-10-15-027-XXVII-NRSITZ-00059	ParlaMint-AT_2020-10-15-027-XXVII-NRSITZ-00059_d7e461	Sitting Number 59, Legislative period XXVII, Thursday, 15. October 2020	2020-10-15	Lower house	Legislative period XXVII	-	-	Sitting 59	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-10-15-027-XXVII-NRSITZ-00059	ParlaMint-AT_2020-10-15-027-XXVII-NRSITZ-00059_d7e744	Sitting Number 59, Legislative period XXVII, Thursday, 15. October 2020	2020-10-15	Lower house	Legislative period XXVII	-	-	Sitting 59	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
