Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-01-10-027-XXVII-NRSITZ-00009	ParlaMint-AT_2020-01-10-027-XXVII-NRSITZ-00009_d7e349	Sitting Number 9, Legislative period XXVII, Friday, 10. January 2020	2020-01-10	Lower house	Legislative period XXVII	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-01-10-027-XXVII-NRSITZ-00009	ParlaMint-AT_2020-01-10-027-XXVII-NRSITZ-00009_d7e392	Sitting Number 9, Legislative period XXVII, Friday, 10. January 2020	2020-01-10	Lower house	Legislative period XXVII	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-01-10-027-XXVII-NRSITZ-00009	ParlaMint-AT_2020-01-10-027-XXVII-NRSITZ-00009_d7e1440	Sitting Number 9, Legislative period XXVII, Friday, 10. January 2020	2020-01-10	Lower house	Legislative period XXVII	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-01-10-027-XXVII-NRSITZ-00009	ParlaMint-AT_2020-01-10-027-XXVII-NRSITZ-00009_d7e1463	Sitting Number 9, Legislative period XXVII, Friday, 10. January 2020	2020-01-10	Lower house	Legislative period XXVII	-	-	Sitting 9	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
