Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-07-08-027-XXVII-NRSITZ-00046	ParlaMint-AT_2020-07-08-027-XXVII-NRSITZ-00046_d7e481	Sitting Number 46, Legislative period XXVII, Wednesday, 8. July 2020	2020-07-08	Lower house	Legislative period XXVII	-	-	Sitting 46	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-07-08-027-XXVII-NRSITZ-00046	ParlaMint-AT_2020-07-08-027-XXVII-NRSITZ-00046_d7e527	Sitting Number 46, Legislative period XXVII, Wednesday, 8. July 2020	2020-07-08	Lower house	Legislative period XXVII	-	-	Sitting 46	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-07-08-027-XXVII-NRSITZ-00046	ParlaMint-AT_2020-07-08-027-XXVII-NRSITZ-00046_d7e679	Sitting Number 46, Legislative period XXVII, Wednesday, 8. July 2020	2020-07-08	Lower house	Legislative period XXVII	-	-	Sitting 46	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
