Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-10-14-027-XXVII-NRSITZ-00056	ParlaMint-AT_2020-10-14-027-XXVII-NRSITZ-00056_d7e533	Sitting Number 56, Legislative period XXVII, Wednesday, 14. October 2020	2020-10-14	Lower house	Legislative period XXVII	-	-	Sitting 56	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-10-14-027-XXVII-NRSITZ-00056	ParlaMint-AT_2020-10-14-027-XXVII-NRSITZ-00056_d7e605	Sitting Number 56, Legislative period XXVII, Wednesday, 14. October 2020	2020-10-14	Lower house	Legislative period XXVII	-	-	Sitting 56	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-10-14-027-XXVII-NRSITZ-00056	ParlaMint-AT_2020-10-14-027-XXVII-NRSITZ-00056_d7e1083	Sitting Number 56, Legislative period XXVII, Wednesday, 14. October 2020	2020-10-14	Lower house	Legislative period XXVII	-	-	Sitting 56	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
