Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00028	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00028_d7e405	Sitting Number 28, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 28	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00028	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00028_d7e451	Sitting Number 28, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 28	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00028	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00028_d7e790	Sitting Number 28, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 28	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-04-28-027-XXVII-NRSITZ-00028	ParlaMint-AT_2020-04-28-027-XXVII-NRSITZ-00028_d7e834	Sitting Number 28, Legislative period XXVII, Tuesday, 28. April 2020	2020-04-28	Lower house	Legislative period XXVII	-	-	Sitting 28	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
