Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-07-07-027-XXVII-NRSITZ-00044	ParlaMint-AT_2020-07-07-027-XXVII-NRSITZ-00044_d7e551	Sitting Number 44, Legislative period XXVII, Tuesday, 7. July 2020	2020-07-07	Lower house	Legislative period XXVII	-	-	Sitting 44	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-07-07-027-XXVII-NRSITZ-00044	ParlaMint-AT_2020-07-07-027-XXVII-NRSITZ-00044_d7e594	Sitting Number 44, Legislative period XXVII, Tuesday, 7. July 2020	2020-07-07	Lower house	Legislative period XXVII	-	-	Sitting 44	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-07-07-027-XXVII-NRSITZ-00044	ParlaMint-AT_2020-07-07-027-XXVII-NRSITZ-00044_d7e903	Sitting Number 44, Legislative period XXVII, Tuesday, 7. July 2020	2020-07-07	Lower house	Legislative period XXVII	-	-	Sitting 44	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
