Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-06-30-027-XXVII-NRSITZ-00041	ParlaMint-AT_2020-06-30-027-XXVII-NRSITZ-00041_d7e448	Sitting Number 41, Legislative period XXVII, Tuesday, 30. June 2020	2020-06-30	Lower house	Legislative period XXVII	-	-	Sitting 41	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-06-30-027-XXVII-NRSITZ-00041	ParlaMint-AT_2020-06-30-027-XXVII-NRSITZ-00041_d7e503	Sitting Number 41, Legislative period XXVII, Tuesday, 30. June 2020	2020-06-30	Lower house	Legislative period XXVII	-	-	Sitting 41	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-06-30-027-XXVII-NRSITZ-00041	ParlaMint-AT_2020-06-30-027-XXVII-NRSITZ-00041_d7e699	Sitting Number 41, Legislative period XXVII, Tuesday, 30. June 2020	2020-06-30	Lower house	Legislative period XXVII	-	-	Sitting 41	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
