Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-12-10-027-XXVII-NRSITZ-00070	ParlaMint-AT_2020-12-10-027-XXVII-NRSITZ-00070_d7e365	Sitting Number 70, Legislative period XXVII, Thursday, 10. December 2020	2020-12-10	Lower house	Legislative period XXVII	-	-	Sitting 70	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-12-10-027-XXVII-NRSITZ-00070	ParlaMint-AT_2020-12-10-027-XXVII-NRSITZ-00070_d7e414	Sitting Number 70, Legislative period XXVII, Thursday, 10. December 2020	2020-12-10	Lower house	Legislative period XXVII	-	-	Sitting 70	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-12-10-027-XXVII-NRSITZ-00070	ParlaMint-AT_2020-12-10-027-XXVII-NRSITZ-00070_d7e765	Sitting Number 70, Legislative period XXVII, Thursday, 10. December 2020	2020-12-10	Lower house	Legislative period XXVII	-	-	Sitting 70	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
