Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-09-14-027-XXVII-NRSITZ-00050	ParlaMint-AT_2020-09-14-027-XXVII-NRSITZ-00050_d7e586	Sitting Number 50, Legislative period XXVII, Monday, 14. September 2020	2020-09-14	Lower house	Legislative period XXVII	-	-	Sitting 50	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-09-14-027-XXVII-NRSITZ-00050	ParlaMint-AT_2020-09-14-027-XXVII-NRSITZ-00050_d7e638	Sitting Number 50, Legislative period XXVII, Monday, 14. September 2020	2020-09-14	Lower house	Legislative period XXVII	-	-	Sitting 50	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-09-14-027-XXVII-NRSITZ-00050	ParlaMint-AT_2020-09-14-027-XXVII-NRSITZ-00050_d7e925	Sitting Number 50, Legislative period XXVII, Monday, 14. September 2020	2020-09-14	Lower house	Legislative period XXVII	-	-	Sitting 50	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-09-14-027-XXVII-NRSITZ-00050	ParlaMint-AT_2020-09-14-027-XXVII-NRSITZ-00050_d7e959	Sitting Number 50, Legislative period XXVII, Monday, 14. September 2020	2020-09-14	Lower house	Legislative period XXVII	-	-	Sitting 50	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-09-14-027-XXVII-NRSITZ-00050	ParlaMint-AT_2020-09-14-027-XXVII-NRSITZ-00050_d7e1007	Sitting Number 50, Legislative period XXVII, Monday, 14. September 2020	2020-09-14	Lower house	Legislative period XXVII	-	-	Sitting 50	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
