Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-05-13-027-XXVII-NRSITZ-00031	ParlaMint-AT_2020-05-13-027-XXVII-NRSITZ-00031_d7e390	Sitting Number 31, Legislative period XXVII, Wednesday, 13. May 2020	2020-05-13	Lower house	Legislative period XXVII	-	-	Sitting 31	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-05-13-027-XXVII-NRSITZ-00031	ParlaMint-AT_2020-05-13-027-XXVII-NRSITZ-00031_d7e445	Sitting Number 31, Legislative period XXVII, Wednesday, 13. May 2020	2020-05-13	Lower house	Legislative period XXVII	-	-	Sitting 31	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-05-13-027-XXVII-NRSITZ-00031	ParlaMint-AT_2020-05-13-027-XXVII-NRSITZ-00031_d7e579	Sitting Number 31, Legislative period XXVII, Wednesday, 13. May 2020	2020-05-13	Lower house	Legislative period XXVII	-	-	Sitting 31	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2020-05-13-027-XXVII-NRSITZ-00031	ParlaMint-AT_2020-05-13-027-XXVII-NRSITZ-00031_d7e625	Sitting Number 31, Legislative period XXVII, Wednesday, 13. May 2020	2020-05-13	Lower house	Legislative period XXVII	-	-	Sitting 31	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
