Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-01-22-027-XXVII-NRSITZ-00011	ParlaMint-AT_2020-01-22-027-XXVII-NRSITZ-00011_d7e395	Sitting Number 11, Legislative period XXVII, Wednesday, 22. January 2020	2020-01-22	Lower house	Legislative period XXVII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-01-22-027-XXVII-NRSITZ-00011	ParlaMint-AT_2020-01-22-027-XXVII-NRSITZ-00011_d7e432	Sitting Number 11, Legislative period XXVII, Wednesday, 22. January 2020	2020-01-22	Lower house	Legislative period XXVII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-01-22-027-XXVII-NRSITZ-00011	ParlaMint-AT_2020-01-22-027-XXVII-NRSITZ-00011_d7e1132	Sitting Number 11, Legislative period XXVII, Wednesday, 22. January 2020	2020-01-22	Lower house	Legislative period XXVII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
