Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-05-08-027-XXVII-NRSITZ-00029	ParlaMint-AT_2020-05-08-027-XXVII-NRSITZ-00029_d7e2702	Sitting Number 29, Legislative period XXVII, Friday, 8. May 2020	2020-05-08	Lower house	Legislative period XXVII	-	-	Sitting 29	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-05-08-027-XXVII-NRSITZ-00029	ParlaMint-AT_2020-05-08-027-XXVII-NRSITZ-00029_d7e2827	Sitting Number 29, Legislative period XXVII, Friday, 8. May 2020	2020-05-08	Lower house	Legislative period XXVII	-	-	Sitting 29	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-05-08-027-XXVII-NRSITZ-00029	ParlaMint-AT_2020-05-08-027-XXVII-NRSITZ-00029_d7e2976	Sitting Number 29, Legislative period XXVII, Friday, 8. May 2020	2020-05-08	Lower house	Legislative period XXVII	-	-	Sitting 29	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
