Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-02-27-027-XXVII-NRSITZ-00013	ParlaMint-AT_2020-02-27-027-XXVII-NRSITZ-00013_d7e435	Sitting Number 13, Legislative period XXVII, Thursday, 27. February 2020	2020-02-27	Lower house	Legislative period XXVII	-	-	Sitting 13	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-02-27-027-XXVII-NRSITZ-00013	ParlaMint-AT_2020-02-27-027-XXVII-NRSITZ-00013_d7e471	Sitting Number 13, Legislative period XXVII, Thursday, 27. February 2020	2020-02-27	Lower house	Legislative period XXVII	-	-	Sitting 13	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2020-02-27-027-XXVII-NRSITZ-00013	ParlaMint-AT_2020-02-27-027-XXVII-NRSITZ-00013_d7e1361	Sitting Number 13, Legislative period XXVII, Thursday, 27. February 2020	2020-02-27	Lower house	Legislative period XXVII	-	-	Sitting 13	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
