Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2017-06-14-commons	ParlaMint-GB_2017-06-14-commons.u1	Minutes of the House of Commons, Daily Session 2017-06-14	2017-06-14	Lower house	56	-	2017-06-14	2017-06-14	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-06-14-commons	ParlaMint-GB_2017-06-14-commons.u2	Minutes of the House of Commons, Daily Session 2017-06-14	2017-06-14	Lower house	56	-	2017-06-14	2017-06-14	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-06-14-commons	ParlaMint-GB_2017-06-14-commons.u3	Minutes of the House of Commons, Daily Session 2017-06-14	2017-06-14	Lower house	56	-	2017-06-14	2017-06-14	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
ParlaMint-GB-en_2017-06-14-commons	ParlaMint-GB_2017-06-14-commons.u4	Minutes of the House of Commons, Daily Session 2017-06-14	2017-06-14	Lower house	56	-	2017-06-14	2017-06-14	-	Reference	English	Chairperson	MP	notMinister	CON	Conservative	-	Centre-right	JohnBercow	Bercow, John Simon	M	-	
