Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-09-19-021-XXI-NRSITZ-00116	ParlaMint-AT_2002-09-19-021-XXI-NRSITZ-00116_d7e367	Sitting Number 116, Legislative period XXI, Thursday, 19. September 2002	2002-09-19	Lower house	Legislative period XXI	-	-	Sitting 116	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-09-19-021-XXI-NRSITZ-00116	ParlaMint-AT_2002-09-19-021-XXI-NRSITZ-00116_d7e398	Sitting Number 116, Legislative period XXI, Thursday, 19. September 2002	2002-09-19	Lower house	Legislative period XXI	-	-	Sitting 116	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-09-19-021-XXI-NRSITZ-00116	ParlaMint-AT_2002-09-19-021-XXI-NRSITZ-00116_d7e519	Sitting Number 116, Legislative period XXI, Thursday, 19. September 2002	2002-09-19	Lower house	Legislative period XXI	-	-	Sitting 116	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
