Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e443	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e474	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e623	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e678	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e712	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-07-11-021-XXI-NRSITZ-00112	ParlaMint-AT_2002-07-11-021-XXI-NRSITZ-00112_d7e766	Sitting Number 112, Legislative period XXI, Thursday, 11. July 2002	2002-07-11	Lower house	Legislative period XXI	-	-	Sitting 112	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
