Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-06-13-021-XXI-NRSITZ-00108	ParlaMint-AT_2002-06-13-021-XXI-NRSITZ-00108_d7e342	Sitting Number 108, Legislative period XXI, Thursday, 13. June 2002	2002-06-13	Lower house	Legislative period XXI	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2002-06-13-021-XXI-NRSITZ-00108	ParlaMint-AT_2002-06-13-021-XXI-NRSITZ-00108_d7e373	Sitting Number 108, Legislative period XXI, Thursday, 13. June 2002	2002-06-13	Lower house	Legislative period XXI	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2002-06-13-021-XXI-NRSITZ-00108	ParlaMint-AT_2002-06-13-021-XXI-NRSITZ-00108_d7e581	Sitting Number 108, Legislative period XXI, Thursday, 13. June 2002	2002-06-13	Lower house	Legislative period XXI	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
