Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-02-28-021-XXI-NRSITZ-00096	ParlaMint-AT_2002-02-28-021-XXI-NRSITZ-00096_d7e382	Sitting Number 96, Legislative period XXI, Thursday, 28. February 2002	2002-02-28	Lower house	Legislative period XXI	-	-	Sitting 96	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2002-02-28-021-XXI-NRSITZ-00096	ParlaMint-AT_2002-02-28-021-XXI-NRSITZ-00096_d7e413	Sitting Number 96, Legislative period XXI, Thursday, 28. February 2002	2002-02-28	Lower house	Legislative period XXI	-	-	Sitting 96	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2002-02-28-021-XXI-NRSITZ-00096	ParlaMint-AT_2002-02-28-021-XXI-NRSITZ-00096_d7e523	Sitting Number 96, Legislative period XXI, Thursday, 28. February 2002	2002-02-28	Lower house	Legislative period XXI	-	-	Sitting 96	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
ParlaMint-AT-en_2002-02-28-021-XXI-NRSITZ-00096	ParlaMint-AT_2002-02-28-021-XXI-NRSITZ-00096_d7e569	Sitting Number 96, Legislative period XXI, Thursday, 28. February 2002	2002-02-28	Lower house	Legislative period XXI	-	-	Sitting 96	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00302	Fasslabend, Werner	M	1944	
