Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-08-19-021-XXI-NRSITZ-00114	ParlaMint-AT_2002-08-19-021-XXI-NRSITZ-00114_d7e339	Sitting Number 114, Legislative period XXI, Monday, 19. August 2002	2002-08-19	Lower house	Legislative period XXI	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-08-19-021-XXI-NRSITZ-00114	ParlaMint-AT_2002-08-19-021-XXI-NRSITZ-00114_d7e370	Sitting Number 114, Legislative period XXI, Monday, 19. August 2002	2002-08-19	Lower house	Legislative period XXI	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-08-19-021-XXI-NRSITZ-00114	ParlaMint-AT_2002-08-19-021-XXI-NRSITZ-00114_d7e465	Sitting Number 114, Legislative period XXI, Monday, 19. August 2002	2002-08-19	Lower house	Legislative period XXI	-	-	Sitting 114	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
