Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2002-05-23-021-XXI-NRSITZ-00105	ParlaMint-AT_2002-05-23-021-XXI-NRSITZ-00105_d7e364	Sitting Number 105, Legislative period XXI, Thursday, 23. May 2002	2002-05-23	Lower house	Legislative period XXI	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-05-23-021-XXI-NRSITZ-00105	ParlaMint-AT_2002-05-23-021-XXI-NRSITZ-00105_d7e398	Sitting Number 105, Legislative period XXI, Thursday, 23. May 2002	2002-05-23	Lower house	Legislative period XXI	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2002-05-23-021-XXI-NRSITZ-00105	ParlaMint-AT_2002-05-23-021-XXI-NRSITZ-00105_d7e557	Sitting Number 105, Legislative period XXI, Thursday, 23. May 2002	2002-05-23	Lower house	Legislative period XXI	-	-	Sitting 105	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
