Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e117	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e133	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e149	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e181	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e197	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e213	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e229	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e245	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e262	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-06-10-upper	ParlaMint-NO_2004-06-10-upper.ana.ud2098e278	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-10	2004-06-10	Upper house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
