Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e53	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e60	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.FKM	Marthinsen, Finn Kristian	M	1946	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GKG	Gjul, Gunn Karin	F	1967	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e101	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.CD	Dybevig, Carsten	M	1963	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e150	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-05-lower	ParlaMint-NO_2004-02-05-lower.ana.ud321e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-05	2004-02-05	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-05	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
