Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-05-13-lower	ParlaMint-NO_2004-05-13-lower.ana.ud939e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-13	2004-05-13	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-13-lower	ParlaMint-NO_2004-05-13-lower.ana.ud939e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-13	2004-05-13	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-13-lower	ParlaMint-NO_2004-05-13-lower.ana.ud939e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-13	2004-05-13	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-13	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
