Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e37	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e40	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e59	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e75	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ML	Lund, Morten	M	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e111	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e158	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e338	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-02-12-lower	ParlaMint-NO_2004-02-12-lower.ana.ud2549e348	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-02-12	2004-02-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-02-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
