Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e79	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e92	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e97	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e125	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JAE	Ellingsen, Jan Arild	M	1958	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e140	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e151	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2004-11-09-lower	ParlaMint-NO_2004-11-09-lower.ana.ud2090e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-11-09	2004-11-09	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-11-09	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
