Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e52	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e61	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e72	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ABA	Andersen, Anne Berit	F	1951	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e87	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.OAS	Starrfelt, Oddbjørg Ausdal	F	1948	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e105	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.JSA	Sahl, Jan	M	1950	
ParlaMint-NO-en_2004-12-07-lower	ParlaMint-NO_2004-12-07-lower.ana.ud2648e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-07	2004-12-07	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
