Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-03-30-lower	ParlaMint-NO_2004-03-30-lower.ana.ud123e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-30	2004-03-30	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-03-30-lower	ParlaMint-NO_2004-03-30-lower.ana.ud123e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-30	2004-03-30	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-30	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2004-03-30-lower	ParlaMint-NO_2004-03-30-lower.ana.ud123e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-30	2004-03-30	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-30	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
