Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e133	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e163	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e193	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e223	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e238	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e253	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e269	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e284	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e299	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e314	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2004-12-17-upper	ParlaMint-NO_2004-12-17-upper.ana.ud1155e329	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-17	2004-12-17	Upper house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-17	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
