Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e35	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.SAR	Arnøy, Siri Hall	F	1978	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e40	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e61	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.EHO	Holstad, Einar	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TROH	Helleland, Trond	M	1962	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e117	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.IBTH	Thomsen, Ib	M	1961	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e136	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e149	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e165	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-03-12-lower	ParlaMint-NO_2004-03-12-lower.ana.ud1060e168	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-03-12	2004-03-12	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-03-12	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AAS	Sæle, Anita Apelthun	F	1951	
