Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ISE	Enger, Inger S.	F	1948	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e53	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.AR	Rafiq, Afshan	F	1975	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e70	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.MEH	Hansen, May	F	1953	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e90	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.IMT	Thorkildsen, Inga Marte	F	1976	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e106	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e114	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e135	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2004-12-10	ParlaMint-NO_2004-12-10.ana.ud230e154	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
