Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e94	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.KRCL	Clemet, Kristin	F	1957	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e168	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.KRCL	Clemet, Kristin	F	1957	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e175	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.VB	Bjørnstad, Vidar	M	1955	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e195	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.JAOO	Olsen, Jan Olav	M	1950	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.BJT	Tørresdal, Bjørg	F	1958	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e219	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UE	Evje, Ursula	F	1944	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e245	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.RSK	Skjælaaen, Rune J.	M	1954	
ParlaMint-NO-en_2004-01-08	ParlaMint-NO_2004-01-08.ana.ud953e259	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-08	2004-01-08	Unicameralism	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ELSK	Skarbøvik, Elsa	F	1948	
