Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e99	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e222	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e225	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e230	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e233	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SKO	Konglevoll, Synnøve	F	1972	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e238	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e251	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e266	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e281	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e289	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2004-10-19	ParlaMint-NO_2004-10-19.ana.ud1022e5939	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-19	2004-10-19	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-19	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
