Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e48	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.FMV	Vallersnes, Finn Martin	M	1945	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e57	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e73	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e81	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e126	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e300	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2004-01-15-lower	ParlaMint-NO_2004-01-15-lower.ana.ud653e310	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-01-15	2004-01-15	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-01-15	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
