Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e29	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e78	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TTS	Solberg, Torstein Tvedt	M	1985	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e177	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e200	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TTS	Solberg, Torstein Tvedt	M	1985	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e211	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e224	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e241	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.GME	Melby, Guri	F	1981	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e256	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.HFG	Grøvan, Hans Fredrik	M	1953	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e267	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JASP	Asphjell, Jorodd	M	1960	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e282	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TTS	Solberg, Torstein Tvedt	M	1985	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e295	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2019-10-08	ParlaMint-NO_2019-10-08.ana.ud302e309	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-10-08	2019-10-08	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-10-08	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.TWT	Trøen, Tone Wilhelmsen	F	1966	
