Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e47	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e73	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e84	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e112	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e117	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KILE	Leirtrø, Kirsti	F	1963	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e126	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e133	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KILE	Leirtrø, Kirsti	F	1963	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e138	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e145	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.SIMOS	Mossleth, Siv	F	1967	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e150	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e157	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ARNEV	Nævra, Arne	M	1953	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e167	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e176	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e181	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e213	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e220	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e229	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e238	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HELO	Orten, Helge	M	1966	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e243	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SMY	Myrli, Sverre	M	1971	
ParlaMint-NO-en_2019-12-11	ParlaMint-NO_2019-12-11.ana.ud563e250	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2019-2020, Sitting day 2019-12-11	2019-12-11	Unicameralism	Term 2017-2021	Session 2019-2020	-	Sitting day 2019-12-11	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.JG	Gunnes, Jon	M	1956	
